Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³
Nordrhein-Westfalen;DENW431;Düsseldorf-Lohausen;städtisches Gebiet;Hintergrund;8,1
Mecklenburg-Vorpommern;DEMV060;Neubrandenburg Südstadt;städtisches Gebiet;Hintergrund;7,3
Brandenburg;DEBB112;Wildau;vorstädtisches Gebiet;Hintergrund;8,3
Sachsen;DESN130;Liebschützberg;ländlich abgelegen;Hintergrund;6,5
Nordrhein-Westfalen;DENW405;Wesel-Obrighoven;ländlich stadtnah;Hintergrund;8,8
Brandenburg;DEBB110;Dallgow-Döberitz;vorstädtisches Gebiet;Hintergrund;8,4
UBA;DEUB030;Neuglobsow;ländlich regional;Hintergrund;6,7
UBA;DEUB029;Schmücke;ländliches Gebiet;Hintergrund;4,6
UBA;DEUB005;Waldhof;ländliches Gebiet;Hintergrund;6,5
UBA;DEUB004;Schauinsland;ländlich regional;Hintergrund;5,3
Thüringen;DETH117;Erfurt Bautzener Weg;vorstädtisches Gebiet;Hintergrund;7,3
Thüringen;DETH093;Weimar Schwanseestr.;städtisches Gebiet;Hintergrund;7,7
Thüringen;DETH061;Hummelshain;ländlich abgelegen;Hintergrund;6,3
Thüringen;DETH041;Jena Dammstr.;städtisches Gebiet;Hintergrund;7,9
Thüringen;DETH036;Greiz Mollbergstr.;städtisches Gebiet;Hintergrund;8,6
Thüringen;DETH027;Neuhaus;ländlich abgelegen;Hintergrund;5,1
Thüringen;DETH026;Dreißigacker;ländlich regional;Hintergrund;6,3
Thüringen;DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Hintergrund;7,5
Thüringen;DETH018;Nordhausen;städtisches Gebiet;Hintergrund;8
Thüringen;DETH013;Eisenach Werneburgstr.;städtisches Gebiet;Hintergrund;7,1
Thüringen;DETH011;Altenburg Theaterplatz;städtisches Gebiet;Hintergrund;7,7
Thüringen;DETH005;Saalfeld;städtisches Gebiet;Hintergrund;8,5
Sachsen-Anhalt;DEST104;Domäne Bobbe;ländliches Gebiet;Hintergrund;7,6
Sachsen-Anhalt;DEST098;Unterharz / Friedrichsbrunn;ländlich regional;Hintergrund;5,4
Sachsen-Anhalt;DEST077;Magdeburg/West;städtisches Gebiet;Hintergrund;8,5
Sachsen-Anhalt;DEST044;Halberstadt;städtisches Gebiet;Hintergrund;7,4
Sachsen-Anhalt;DEST002;Burg;vorstädtisches Gebiet;Hintergrund;8
Sachsen;DESN092;Dresden-Winckelmannstr.;städtisches Gebiet;Hintergrund;7,5
Sachsen;DESN079;Niesky;ländlich regional;Hintergrund;7,2
Sachsen;DESN074;Schwartenberg;ländlich regional;Hintergrund;5
Sachsen;DESN059;Leipzig-West;vorstädtisches Gebiet;Hintergrund;6,7
Schleswig-Holstein;DESH058;Lauenburg-Murjahnstraße;städtisches Gebiet;Hintergrund;6
Schleswig-Holstein;DESH057;Kiel-Bremerskamp;städtisches Gebiet;Hintergrund;5,4
Schleswig-Holstein;DESH056;Eggebek;ländlich regional;Hintergrund;5,9
Schleswig-Holstein;DESH023;Lübeck-St. Jürgen;städtisches Gebiet;Hintergrund;6,3
Schleswig-Holstein;DESH015;Itzehoe;städtisches Gebiet;Hintergrund;6,8
Schleswig-Holstein;DESH008;Bornhöved;ländlich regional;Hintergrund;5,5
Saarland;DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;8,2
Rheinland-Pfalz;DERP053;Speyer-Nord;vorstädtisches Gebiet;Hintergrund;9,5
Rheinland-Pfalz;DERP028;Westerwald-Neuhäusel;ländliches Gebiet;Hintergrund;6,4
Rheinland-Pfalz;DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;8,4
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;7,5
Rheinland-Pfalz;DERP017;Pfälzerwald-Hortenkopf;ländliches Gebiet;Hintergrund;5,2
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;8,2
Nordrhein-Westfalen;DENW247;Essen-Schuir (LANUV);vorstädtisches Gebiet;Hintergrund;8,8
Nordrhein-Westfalen;DENW179;Schwerte;städtisches Gebiet;Hintergrund;8
Nordrhein-Westfalen;DENW114;Wuppertal-Langerfeld;städtisches Gebiet;Hintergrund;8,4
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;vorstädtisches Gebiet;Hintergrund;6,5
Nordrhein-Westfalen;DENW095;Münster-Geist;städtisches Gebiet;Hintergrund;8,9
Nordrhein-Westfalen;DENW094;Aachen-Burtscheid;städtisches Gebiet;Hintergrund;7,5
Nordrhein-Westfalen;DENW081;Borken-Gemen;ländlich stadtnah;Hintergrund;9,6
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;vorstädtisches Gebiet;Hintergrund;7,6
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;vorstädtisches Gebiet;Hintergrund;8,4
Nordrhein-Westfalen;DENW071;Düsseldorf-Lörick;städtisches Gebiet;Hintergrund;8,5
Nordrhein-Westfalen;DENW068;Soest-Ost;ländlich stadtnah;Hintergrund;7,3
Nordrhein-Westfalen;DENW067;Bielefeld-Ost;städtisches Gebiet;Hintergrund;8,9
Nordrhein-Westfalen;DENW066;Nettetal-Kaldenkirchen;ländlich stadtnah;Hintergrund;9,6
Nordrhein-Westfalen;DENW065;Netphen Rothaargebirge;ländlich regional;Hintergrund;5,5
Nordrhein-Westfalen;DENW064;Simmerath (Eifel);ländlich regional;Hintergrund;6,2
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;8
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;städtisches Gebiet;Hintergrund;8,8
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;städtisches Gebiet;Hintergrund;9,4
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;vorstädtisches Gebiet;Hintergrund;7,7
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;9,9
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;9,9
Nordrhein-Westfalen;DENW010;Unna-Königsborn;vorstädtisches Gebiet;Hintergrund;9
Nordrhein-Westfalen;DENW008;Dortmund-Eving;städtisches Gebiet;Hintergrund;9,6
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;vorstädtisches Gebiet;Hintergrund;9,1
Nordrhein-Westfalen;DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;11
Niedersachsen;DENI060;Wendland;ländliches Gebiet;Hintergrund;6,5
Niedersachsen;DENI054;Hannover;städtisches Gebiet;Hintergrund;7,3
Niedersachsen;DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;7,5
Niedersachsen;DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;6,7
Niedersachsen;DENI041;Weserbergland;vorstädtisches Gebiet;Hintergrund;7,1
Niedersachsen;DENI038;Osnabrück;städtisches Gebiet;Hintergrund;7,3
Niedersachsen;DENI031;Jadebusen;ländliches Gebiet;Hintergrund;7
Niedersachsen;DENI016;Oker/Harlingerode;vorstädtisches Gebiet;Hintergrund;5,4
Mecklenburg-Vorpommern;DEMV028;Wismar;städtisches Gebiet;Hintergrund;8,3
Mecklenburg-Vorpommern;DEMV026;Garz;ländliches Gebiet;Hintergrund;7,2
Mecklenburg-Vorpommern;DEMV024;Leizen;ländliches Gebiet;Hintergrund;6,9
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;8,5
Mecklenburg-Vorpommern;DEMV019;Güstrow;städtisches Gebiet;Hintergrund;8
Mecklenburg-Vorpommern;DEMV017;Göhlen;ländliches Gebiet;Hintergrund;8,6
Mecklenburg-Vorpommern;DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;9,4
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;8,2
Mecklenburg-Vorpommern;DEMV004;Gülzow;ländliches Gebiet;Hintergrund;8,1
