Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Tagesmittelwerte über 125 µg/m³;Zahl der Stundenmittelwerte über 350 µg/m³;Wintermittelwert in µg/m³
Sachsen;DESN053;Fichtelberg;ländlich abgelegen;Hintergrund;0,85;0;0;0,99
Thüringen;DETH027;Neuhaus;ländlich abgelegen;Hintergrund;1;0;0;1,3
Thüringen;DETH042;Possen;ländlich abgelegen;Hintergrund;0,85;0;0;0,84
Thüringen;DETH061;Hummelshain;ländlich abgelegen;Hintergrund;0,83;0;0;0,84
Bremen;DEHB013;Bremen-Hasenbüren;ländlich regional;Industrie;1,9;0;1;1,5
Brandenburg;DEBB066;Spreewald;ländlich regional;Hintergrund;1,6;0;0;1,9
Baden-Württemberg;DEBW031;Schwarzwald-Süd;ländlich regional;Hintergrund;0,83;0;0;0,78
Saarland;DESL019;Biringen;ländlich regional;Hintergrund;1,7;0;0;1,7
Sachsen;DESN052;Zinnwald;ländlich regional;Hintergrund;2;0;1;2,7
Sachsen;DESN074;Schwartenberg;ländlich regional;Hintergrund;2,6;0;0;3,4
Sachsen-Anhalt;DEST089;Zartau/Waldstation;ländlich regional;Hintergrund;1,6;0;0;1,2
Sachsen-Anhalt;DEST098;Unterharz / Friedrichsbrunn;ländlich regional;Hintergrund;0,84;0;0;1,1
UBA;DEUB004;Schauinsland;ländlich regional;Hintergrund;0,31;0;0;0,33
UBA;DEUB030;Neuglobsow;ländlich regional;Hintergrund;0,5;0;0;0,45
Baden-Württemberg;DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;1,4;0;0;1,8
Hessen;DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;0,81;0;0;0,85
Mecklenburg-Vorpommern;DEMV004;Gülzow;ländliches Gebiet;Hintergrund;0,94;0;0;1
Mecklenburg-Vorpommern;DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;0,91;0;0;1,5
Rheinland-Pfalz;DERP013;Westpfalz-Dunzweiler;ländliches Gebiet;Hintergrund;1,1;0;0;1,2
Rheinland-Pfalz;DERP014;Hunsrück-Leisel;ländliches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP015;Westeifel Wascheid;ländliches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP016;Westerwald-Herdorf;ländliches Gebiet;Hintergrund;1;0;0;1
Rheinland-Pfalz;DERP017;Pfälzerwald-Hortenkopf;ländliches Gebiet;Hintergrund;1,1;0;0;1,1
UBA;DEUB001;Westerland;ländliches Gebiet;Hintergrund;0,52;0;0;0,48
UBA;DEUB028;Zingst;ländliches Gebiet;Hintergrund;0,69;0;0;0,65
UBA;DEUB029;Schmücke;ländliches Gebiet;Hintergrund;0,45;0;0;0,53
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;0,82;0;0;1,2
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;1,5;0;0;1,3
Rheinland-Pfalz;DERP020;Trier-Ostallee;städtisches Gebiet;Verkehr;1;0;0;1
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;1,3;0;0;1,3
Rheinland-Pfalz;DERP024;Koblenz-Friedrich-Ebert-Ring;städtisches Gebiet;Verkehr;1,1;0;0;1
Sachsen;DESN020;Görlitz;städtisches Gebiet;Verkehr;0,96;0;0;1,6
Sachsen;DESN025;Leipzig-Mitte;städtisches Gebiet;Verkehr;0,84;0;0;0,93
Hamburg;DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;4,9;0;0;6,1
Hamburg;DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;3,4;0;0;3,4
Mecklenburg-Vorpommern;DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;1,3;0;0;1,1
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;städtisches Gebiet;Industrie;5,7;0;0;7,8
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;9;0;0;11
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;9,7;0;0;7,5
Saarland;DESL003;Dillingen City;städtisches Gebiet;Industrie;3,5;0;0;4,5
Brandenburg;DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;2;0;0;1,4
Brandenburg;DEBB064;Cottbus;städtisches Gebiet;Hintergrund;1,5;0;0;1,6
Bremen;DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;0,72;0;0;0,67
Bremen;DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;1;0;0;1,1
Bremen;DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;1,3;0;0;1,4
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;0,94;0;0;1,1
Bremen;DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;2;0;0;2,3
Hessen;DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;1,4;0;0;1,3
Hessen;DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;1,1;0;0;1,2
Hessen;DEHE013;Kassel Mitte;städtisches Gebiet;Hintergrund;0,81;0;0;0,82
Hessen;DEHE020;Wetzlar;städtisches Gebiet;Hintergrund;0,87;0;0;0,95
Hessen;DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;0,8;0;0;0,81
Hamburg;DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;3,1;0;0;3,8
Hamburg;DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;2,7;0;0;2,6
